Stock,URL,Market Cap,P/E Ratio,ROE,EPS,Dividend Yield,Book Value,ROCE,Debt to Equity,Face Value,Industry P/E,P/B Ratio
"ADANIPORTS","https://groww.in/stocks/adani-ports-and-special-economic-zone-ltd","₹233392Cr","23.07","17.15%","46.84","0.56%","264.69",,"0.88","2",,"4.08"
"ASIANPAINT","https://groww.in/stocks/asian-paints-ltd","₹213422Cr","50.43","25.35%","44.12","1.50%","187.91",,"0.14","1",,"11.84"
"AXISBANK","https://groww.in/stocks/axis-bank-ltd","₹312494Cr","11.09","15.80%","91.01","0.10%","576.10",,"NA","2",,"1.75"
"BAJAJ-AUTO","https://groww.in/stocks/bajaj-finance-ltd","₹526426Cr","32.94","17.71%","257.84","0.42%","1400.32",,"3.74","2",,"6.06"
"BAJFINANCE","https://groww.in/stocks/bajaj-finance-ltd","₹526426Cr","32.94","17.71%","257.84","0.42%","1400.32",,"3.74","2",,"6.06"
"BAJAJFINSV","https://groww.in/stocks/bajaj-finance-ltd","₹526426Cr","32.94","17.71%","257.84","0.42%","1400.32",,"3.74","2",,"6.06"
"BPCL","https://groww.in/stocks/bharat-petroleum-corporation-ltd","₹107638Cr","7.84","17.00%","31.66","8.34%","177.88",,"0.76","10",,"1.39"
"BHARTIARTL","https://groww.in/stocks/bharti-airtel-ltd","₹936048Cr","38.04","16.32%","43.15","0.49%","153.46",,"2.59","5",,"10.70"
"BRITANNIA","https://groww.in/stocks/britannia-industries-ltd","₹115501Cr","53.55","66.40%","89.55","1.53%","133.28",,"0.86","1",,"35.98"
"CIPLA","https://groww.in/stocks/cipla-ltd","₹118174Cr","23.68","15.78%","61.78","0.89%","351.18",,"0.02","2",,"4.17"
"COALINDIA","https://groww.in/stocks/coal-india-ltd","₹222598Cr","6.46","37.61%","55.88","7.06%","156.09",,"0.08","10",,"2.31"
"DRREDDY","https://groww.in/stocks/dr-reddys-laboratories-ltd","₹94004Cr","17.50","17.36%","64.37","0.71%","368.50",,"0.16","1",,"3.06"
"EICHERMOT","https://groww.in/stocks/eicher-motors-ltd","₹136706Cr","30.77","22.49%","162.05","1.02%","692.30",,"0.02","1",,"7.20"
"GRASIM","https://groww.in/stocks/grasim-industries-ltd","₹161855Cr","41.86","4.82%","56.83","0.41%","1365.59",,"1.70","2",,"1.74"
"HCLTECH","https://groww.in/stocks/hcl-technologies-ltd","₹444173Cr","26.02","24.43%","62.90","3.18%","253.81",,"0.08","2",,"6.45"
"HDFCBANK","https://groww.in/stocks/hdfc-bank-ltd","₹1288071Cr","18.51","13.95%","90.95","1.15%","651.96",,"NA","1",,"2.58"
"HDFCLIFE","https://groww.in/stocks/hdfc-bank-ltd","₹1288071Cr","18.51","13.95%","90.95","1.15%","651.96",,"NA","1",,"2.58"
"HEROMOTOCO","https://groww.in/stocks/hero-motocorp-ltd","₹76527Cr","18.43","21.77%","207.60","3.66%","950.47",,"0.03","2",,"4.03"
"HINDALCO","https://groww.in/stocks/hindustan-aeronautics-ltd","₹219622Cr","25.26","27.30%","130.03","1.07%","466.51",,"0.00","5",,"7.04"
"HINDUNILVR","https://groww.in/stocks/hindustan-aeronautics-ltd","₹219622Cr","25.26","27.30%","130.03","1.07%","466.51",,"0.00","5",,"7.04"
"ICICIBANK","https://groww.in/stocks/icici-bank-ltd","₹864506Cr","17.57","17.10%","69.66","0.81%","407.44",,"NA","2",,"3.00"
"ITC","https://groww.in/stocks/itc-ltd","₹506568Cr","25.15","27.29%","16.10","3.39%","60.15",,"0.00","1",,"6.73"
"INDUSINDBK","https://groww.in/stocks/indusind-bank-ltd","₹80535Cr","11.10","11.11%","93.11","1.59%","837.89",,"NA","10",,"1.23"
"INFY","https://groww.in/stocks/infosys-ltd","₹734286Cr","26.56","31.32%","66.58","2.60%","183.48",,"0.09","5",,"9.64"
"JSWSTEEL","https://groww.in/stocks/jsw-steel-ltd","₹234482Cr","71.08","6.27%","13.49","0.95%","325.52",,"1.20","1",,"2.95"
"KOTAKBANK","https://groww.in/stocks/kotak-mahindra-bank-ltd","₹391286Cr","17.37","17.77%","113.32","0.10%","556.51",,"NA","5",,"3.54"
"LT","https://groww.in/stocks/tata-motors-ltd","₹243603Cr","7.67","32.99%","86.30","0.94%","274.54",,"1.05","2",,"2.41"
"M&M","https://groww.in/stocks/mmtc-ltd","₹8051Cr","52.11","11.99%","1.03","0.00%","11.47",,"0.09","1",,"4.68"
"MARUTI","https://groww.in/stocks/maruti-suzuki-india-ltd","₹392334Cr","26.98","15.73%","462.51","1.00%","2834.77",,"0.00","5",,"4.40"
"NTPC","https://groww.in/stocks/ntpc-green-energy-ltd","₹82620Cr","258.03","3.82%","0.38","0.00%","21.59",,"2.20","10",,"4.54"
"NESTLEIND","https://groww.in/stocks/nestle-india-ltd","₹216969Cr","64.52","83.27%","34.88","1.43%","41.39",,"0.09","1",,"54.37"
"ONGC","https://groww.in/stocks/oil-natural-gas-corporation-ltd","₹293058Cr","7.51","11.66%","31.01","5.26%","280.02",,"0.54","5",,"0.83"
"POWERGRID","https://groww.in/stocks/power-grid-corporation-of-india-ltd","₹238002Cr","15.31","17.07%","16.71","4.40%","98.98",,"1.33","10",,"2.59"
"RELIANCE","https://groww.in/stocks/reliance-industries-ltd","₹1629162Cr","23.55","8.29%","51.13","0.42%","605.55",,"0.44","10",,"1.99"
"SBILIFE","https://groww.in/stocks/sbi-life-insurance-company-ltd","₹147477Cr","61.17","14.52%","24.06","0.18%","165.63",,"0.00","10",,"8.89"
"SBIN","https://groww.in/stocks/state-bank-of-india","₹634540Cr","8.00","17.53%","88.91","1.93%","507.18",,"NA","1",,"1.40"
"SUNPHARMA","https://groww.in/stocks/sun-pharmaceutical-industries-ltd","₹387169Cr","33.86","15.99%","47.65","0.84%","288.06",,"0.04","1",,"5.60"
"TCS","https://groww.in/stocks/tata-consultancy-services-ltd","₹1313764Cr","26.94","46.74%","134.78","2.01%","279.87",,"0.09","1",,"12.97"
"TATACONSUM","https://groww.in/stocks/tata-global-beverages-ltd","₹99379Cr","86.43","7.20%","11.62","0.74%","193.35",,"0.15","1",,"5.19"
"TATAMOTORS","https://groww.in/stocks/tata-motors-ltd","₹243603Cr","7.67","32.99%","86.30","0.94%","274.54",,"1.05","2",,"2.41"
"TATASTEEL","https://groww.in/stocks/tata-steel-ltd","₹171087Cr","62.58","3.57%","2.19","2.63%","70.92",,"1.10","1",,"1.93"
